wim_code,timestamp,type,axles,lane,speed,weight,size,plate,overweight,oversize,speeding
2740001,2024-05-20 00:03:31.764,1,2,1,103.50,false,false,true,false,false,false
2740001,2024-05-20 00:03:45.000,3,4,2,37.66,false,false,true,false,false,false
2740001,2024-05-20 00:07:03.529,3,6,1,86.39,false,false,true,false,false,false
2740001,2024-05-20 00:07:30.000,3,3,2,78.41,false,false,true,false,false,false
2740001,2024-05-20 00:10:35.294,1,2,1,102.11,false,false,true,false,false,false
2740001,2024-05-20 00:11:15.000,2,2,2,89.44,false,false,true,false,false,false
2740001,2024-05-20 00:14:07.058,3,2,1,92.14,false,false,true,false,false,false
2740001,2024-05-20 00:15:00.000,2,2,2,109.69,false,false,true,false,false,false
2740001,2024-05-20 00:17:38.823,1,2,1,98.79,false,false,true,false,false,false
2740001,2024-05-20 00:18:45.000,1,3,2,79.01,false,false,true,false,false,false
2740001,2024-05-20 00:21:10.588,1,2,1,93.80,false,false,true,false,false,false
2740001,2024-05-20 00:22:30.000,3,2,2,96.39,false,false,true,false,false,false
2740001,2024-05-20 00:24:42.352,1,2,1,96.61,false,false,false,false,false,false
2740001,2024-05-20 00:26:15.000,2,2,2,54.35,false,false,true,false,false,false
2740001,2024-05-20 00:28:14.117,1,2,1,104.15,false,false,true,false,false,false
2740001,2024-05-20 00:30:00.000,3,6,2,74.21,false,false,true,false,false,false
2740001,2024-05-20 00:31:45.882,3,5,1,83.26,false,false,true,false,false,false
2740001,2024-05-20 00:33:45.000,1,2,2,50.60,false,false,true,false,false,false
2740001,2024-05-20 00:33:47.507,1,2,2,50.89,false,false,true,false,false,false
2740001,2024-05-20 00:35:17.647,1,2,1,106.25,false,false,true,false,false,false
2740001,2024-05-20 00:38:28.130,3,5,2,85.05,false,false,true,false,false,false
2740001,2024-05-20 00:38:49.411,1,2,1,105.41,false,false,true,false,false,false
2740001,2024-05-20 00:42:21.176,1,2,1,37.06,false,false,true,false,false,false
2740001,2024-05-20 00:42:23.898,1,2,1,39.03,false,false,true,false,false,false
2740001,2024-05-20 00:43:08.753,1,2,2,105.60,false,false,true,false,false,false
2740001,2024-05-20 00:47:05.344,1,2,1,107.67,false,false,true,false,false,false
2740001,2024-05-20 00:47:49.376,3,4,2,75.65,false,false,true,false,false,false
2740001,2024-05-20 00:51:46.789,1,2,1,104.58,false,false,true,false,false,false
2740001,2024-05-20 00:52:30.000,1,2,2,37.71,false,false,true,false,false,false
2740001,2024-05-20 00:56:28.235,1,2,1,62.44,false,false,true,false,false,false
2740001,2024-05-20 00:56:30.592,2,2,1,64.65,false,false,true,false,false,false
2740001,2024-05-20 01:00:00.000,3,3,2,70.13,false,false,true,false,false,false
2740001,2024-05-20 01:02:22.944,1,2,1,101.11,false,false,true,false,false,false
2740001,2024-05-20 01:07:30.000,1,2,2,60.21,false,false,true,false,false,false
2740001,2024-05-20 01:08:15.296,1,2,1,103.20,false,false,true,false,false,false
2740001,2024-05-20 01:14:07.648,3,2,1,110.01,false,false,true,false,false,false
2740001,2024-05-20 01:15:09.090,3,5,2,71.14,false,false,true,false,false,false
2740001,2024-05-20 01:20:00.000,3,2,1,42.84,false,false,true,false,false,false
